RSTR_ID,MENU_NM,MENU_DSCRN,MENU_CTGRY_LCLAS_NM,MENU_CTGRY_SCLAS_NM,RSTR_NM,AREA_NM,MENU_PRICE,RSTR_RDNMADR,RSTR_LNNO_ADRES,BSNS_STATM_BZCND_NM,BSNS_LCNC_NM,RSTR_INTRCN_CONT,PRDL_SEAT_CNT,SEAT_CNT,PRKG_POS_YN,WIFI_OFR_YN,DCRN_YN,PET_ENTRN_POSBL_YN,FGGG_MENU_OFR_YN,TLROM_INFO_CN,RESTDY_INFO_CN,BSNS_TM_CN,HMDLV_SALE_YN,DSBR_CVNTL_YN,DELV_SRVIC_YN,CRCMF_LDMARK_NM,CRCMF_LDMARK_DIST,MB_PMAMT_YN,REPRSNT_MENU_NM,AWARD_INFO_DSCRN,ONLINE_CONV_PRGS_YN,NAVER_GRAD
4740,정식,장어,한식,정식,구내식당,부산광역시 서구,6000.0,부산광역시 서구 충무대로 202,부산광역시 서구 남부민동 691-3,한식,일반음식점,"부산광역시 서구에 가신다면 ""구내식당""에 방문해보세요~",,,N,N,N,N,Y,N,일요일,매일 06:00~18:00,N,N,N,부산공동어시장,147.726203,N,,,Y,4.4299998
4776,횟밥(1인),"야채,고추,생선,쌀",한식,정식,버드나무횟집,부산광역시 사하구,15000.0,부산광역시 사하구 몰운대2길 23,부산광역시 사하구 다대동 468-15,한식,일반음식점,"""버드나무횟집""은 부산광역시 사하구에 있습니다. 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다.",,,N,N,N,N,Y,N,,매일 10:00~22:00,N,N,N,다대포 해수욕장,129.045591,N,,안심식당(농림축산식품부),Y,4.46
4786,시래기 삼겹살(130g),삼겹살,기타,삼겹살,문삼이,부산광역시 수영구,7000.0,,,,,,,,,,,,,,,,,,,,,,,,,
5286,Hoegaarden(570ml),보리,음료류,술,웨스틴 조선 부산 오킴스,부산광역시 해운대구,21000.0,부산광역시 해운대구 동백로 67,부산광역시 해운대구 우동 737,호프/통닭,일반음식점,"부산광역시 해운대구 근처로 갈 일정이 있으시다면, 맛집으로 소문난 ""웨스틴 조선 부산 오킴스""를 꼭 방문해보세요. 2018년 07월 27일 MBN 미식클럽 8회에 방영되었답니다. 네이버 온라인 예약이 가능합니다!",,,Y,Y,N,N,Y,N,,"매일 11:00~14:00, 매일 12:00~17:00",N,N,N,해운대해수욕장,674.645152,N,,,Y,4.3200002
5292,짜장면,"야채,돼지고기,면",중식,짜장면,만우장,부산광역시 수영구,5000.0,부산광역시 수영구 수영로594번길 28-2,부산광역시 수영구 광안동 146-17,중국식,일반음식점,"""만우장""을 부산광역시 수영구의 가 볼 만한 식당으로 추천합니다!",,,N,N,N,N,Y,N,,,N,N,N,광안리 해수욕장,624.879732,N,,,Y,4.5799999
5294,기본가 1인당,,한식,,돌고래횟집,부산광역시 수영구,30000.0,부산광역시 수영구 광안해변로279번길 21,부산광역시 수영구 민락동 181-42,회집,일반음식점,"부산광역시 수영구에 가신다면 ""돌고래횟집""에 방문해보세요~",,,N,N,N,N,Y,N,연중무휴,"평일 11:00~24:00, 주말 11:00~24:00",N,N,N,광안리 해수욕장,670.860564,N,,,Y,4.0599999
5295,에이코스 (1인),보리,한식,코스,방파제,부산광역시 수영구,35000.0,부산광역시 수영구 광안해변로294번길 24,부산광역시 수영구 민락동 181-123,회집,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 부산광역시 수영구 맛집, ""방파제""를 추천합니다! 네이버 온라인 예약이 가능합니다!",,,Y,Y,N,N,Y,Y,,"매일 12:00~15:00, 매일 17:00~22:30",N,Y,N,광안리 해수욕장,689.860091,Y,,,Y,4.4000001
5883,후라이드,"닭고기,밀가루",기타,후라이드,처갓집양념치킨,부산광역시 해운대구,16000.0,,,,,,,,,,,,,,,,,,,,,,,,,
5907,돼지국밥,"야채,돼지고기,쌀",한식,국밥,경주박가국밥,부산광역시 수영구,6500.0,부산광역시 수영구 수영로702번길 7,부산광역시 수영구 광안동 50-21,한식,일반음식점,"부산광역시 수영구에서 맛집을 찾으신다면 ""경주박가국밥""을 추천합니다.",,,N,N,N,N,Y,N,,매일 00:00~24:00,N,N,N,수영사적공원,485.484588,N,,,Y,4.3800001
5908,세트메뉴 1,"연어,파스타면",한식,크림파스타,범바우식당,부산광역시 수영구,30000.0,부산광역시 수영구 광안해변로295번길 15,부산광역시 수영구 민락동 35-2,한식,일반음식점,"""범바우식당""을 부산광역시 수영구의 가 볼 만한 식당으로 추천합니다!",,,Y,Y,N,N,Y,N,월요일,"평일 17:00~24:00, 주말 11:00~24:00",N,N,N,민락수변공원,563.395844,Y,,,Y,4.5500002
5911,베이컨소세지,야채,제과류,소시지,김영표과자점,부산광역시 수영구,3300.0,부산광역시 수영구 광안해변로 95,부산광역시 수영구 남천동 148-9,제과점영업,제과점영업,"부산광역시 수영구에서 맛집을 찾으신다면 ""김영표과자점""을 추천합니다.",,,N,N,N,N,Y,N,,매일 08:00~23:00,N,N,N,,,N,,,Y,4.46
6661,모듬회(특大),"생선,생선회",한식,모둠회,미조횟집,부산광역시 서구,120000.0,부산광역시 서구 송도해변로 131,부산광역시 서구 암남동 145-2,회집,일반음식점,"부산광역시 서구에서 가 볼 만한 식당을 찾으신다면? ""미조횟집""을 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다.",,,N,N,N,N,Y,N,목요일,매일 10:00~22:00,N,N,N,송도해상케이블카,248.974292,N,,안심식당(농림축산식품부),Y,4.21
6754,돼지국밥,"야채,돼지고기,쌀",한식,국밥,형제전통 돼지국밥,부산광역시 해운대구,6000.0,부산광역시 해운대구 구남로 39,부산광역시 해운대구 중동 1392-35,한식,일반음식점,"부산광역시 해운대구에서 식당을 찾으신다면? ""형제전통 돼지국밥""을 방문해보세요!",,,N,N,N,N,Y,N,,매일 06:00~20:00,N,N,N,해운대해수욕장,219.782986,N,,,Y,4.2199998
6755,짜장면,"야채,돼지고기,면",중식,짜장면,신화루,부산광역시 해운대구,5000.0,부산광역시 해운대구 중동1로19번길 30,부산광역시 해운대구 중동 1378-92,중국식,일반음식점,"""신화루""는 부산광역시 해운대구에 있습니다.",,,N,N,N,N,Y,Y,화요일,매일 11:00~20:30,N,N,Y,해운대해수욕장,577.602505,N,,,Y,4.4499998
6756,보리밥,보리,한식,칼국수,비학산칼국수,부산광역시 해운대구,8500.0,,,,,,,,,,,,,,,,,,,,,,,,,
6758,짜장면,"야채,돼지고기,면",중식,짜장면,덕화반점,부산광역시 해운대구,5500.0,부산광역시 해운대구 우동2로 45,부산광역시 해운대구 우동 398-5,중국식,일반음식점,"""덕화반점""을 부산광역시 해운대구의 가 볼 만한 식당으로 추천합니다!",,,N,N,N,N,Y,N,,매일 11:30~20:30,N,N,Y,,,N,,,Y,4.6599998
6806,떡볶이(1인분),"야채,떡,어묵",한식,떡볶이,오거리분식,부산광역시 수영구,2000.0,부산광역시 수영구 수영로606번길 132,부산광역시 수영구 광안동 132-1,분식,일반음식점,"부산광역시 수영구에서 식당을 찾으신다면? ""오거리분식""을 방문해보세요!",,,N,N,N,N,Y,N,,매일 10:00~20:30,N,N,Y,광안리 해수욕장,573.757837,N,,,Y,4.54
6808,세트1,"야채,돼지고기,면",중식,짜장면,대동반점,부산광역시 수영구,18000.0,부산광역시 수영구 감포로 89,부산광역시 수영구 광안동 76-2,중국식,일반음식점,"부산광역시 수영구에서 식당을 찾으신다면? ""대동반점""을 방문해보세요!",,,N,N,N,N,Y,N,,,N,N,N,수영사적공원,656.254605,N,,,Y,4.3800001
